"","Date","Kitchen","Laundry","WH_AC","GAP_cost"
"135",2007-05-15,0.53,0.642,5.306,2.4371698
"136",2007-05-16,1.569,5.755,9.032,4.12822676666667
"137",2007-05-17,1.658,2.073,6.348,2.9100168
"138",2007-05-18,2.549,3.881,9.067,3.96649313333333
"139",2007-05-19,5.404,0.56,7.887,3.79875033333333
"140",2007-05-20,4.509,1.682,5.787,4.49769243333333
"141",2007-05-21,0.911,0.521,9.129,3.05325483333333
"142",2007-05-22,0.931,2.852,5.508,2.8831337
"143",2007-05-23,0.934,4.891,7.771,3.69331366666667
"144",2007-05-24,0.977,2.803,5.417,2.80442103333333
"145",2007-05-25,7.002,1.91,6.654,4.25284093333333
"146",2007-05-26,3.431,2.755,6.862,3.46328523333333
"147",2007-05-27,3.904,5.475,11.982,5.4368427
"148",2007-05-28,4.347,0.536,9.814,4.09949953333333
"149",2007-05-29,0.669,1.904,3.377,2.6120572
"150",2007-05-30,1.705,5.936,8.669,4.0829685
"151",2007-05-31,1.48,0.482,2.72,2.35138526666667
"152",2007-06-01,0,0.492,8.586,2.7309514
"153",2007-06-02,3.971,1.248,7.633,3.7262433
"154",2007-06-03,4.985,4.495,8.334,4.43268006666667
"155",2007-06-04,1.532,3.856,4.533,2.93664423333333
"156",2007-06-05,4.114,0.976,5.059,3.08226763333333
"157",2007-06-06,3.233,0.891,11.528,4.42285376666667
"158",2007-06-07,1.504,0.691,4.817,2.75616816666667
"159",2007-06-08,2.799,11.431,12.046,5.31663126666667
"160",2007-06-09,0.852,0.591,5.797,2.4759543
"161",2007-06-10,4.202,1.952,5.801,3.07620396666667
"162",2007-06-11,0,0.462,6.303,2.24315916666667
"163",2007-06-12,1.882,0.5,3.898,2.2636585
"164",2007-06-13,0.957,0.859,4.273,2.28426513333333
"165",2007-06-14,2.971,0.886,7.051,2.8012076
"166",2007-06-15,2.137,5.208,5.493,3.0138494
"167",2007-06-16,3.248,4.422,10.56,4.66650183333333
"168",2007-06-17,4.648,5.185,9.282,5.08527823333333
"169",2007-06-18,0,0.502,4.241,1.700166
"170",2007-06-19,0.973,0.536,4.357,2.08783146666667
"171",2007-06-20,1.312,2.504,5.106,2.6659717
"172",2007-06-21,0.895,1.207,3.711,1.83521676666667
"173",2007-06-22,0.486,2.243,3.482,1.74555843333333
"174",2007-06-23,0,0.786,2.402,1.17645526666667
"175",2007-06-24,0,0.781,2.772,1.52788016666667
"176",2007-06-25,0.313,2.615,5.493,2.35355956666667
"177",2007-06-26,1.673,1.947,3.896,2.2359625
"178",2007-06-27,3.063,6.758,8.466,4.24654226666667
"179",2007-06-28,0.51,4.318,8.442,3.31294253333333
"180",2007-06-29,3.85,0.842,7.459,3.15054646666667
"181",2007-06-30,3.562,0.797,8.794,3.35296916666667
"182",2007-07-01,0.969,0.736,4.239,2.67608223333333
"183",2007-07-02,0.439,3.594,2.876,2.0294787
"184",2007-07-03,0.579,2.86,4.856,2.5409781
"185",2007-07-04,2.767,4.125,5.883,3.08336426666667
"186",2007-07-05,2.28,0.835,3.924,2.3490698
"187",2007-07-06,2.989,3.083,4.82,3.00781303333333
"188",2007-07-07,1.505,3.597,8.784,3.19085393333333
"189",2007-07-08,1.825,2.758,5.715,2.568194
"190",2007-07-09,0,0.648,8.538,2.66451596666667
"191",2007-07-10,0.99,1.006,5.652,2.3978331
"192",2007-07-11,1.015,1.86,6.066,2.31902186666667
"193",2007-07-12,0.529,2.568,5.196,2.3742325
"194",2007-07-13,0.5,0.605,5.65,2.16573313333333
"195",2007-07-14,3.775,1.916,5.624,3.11651293333333
"196",2007-07-15,0.862,0.666,4.461,2.12057926666667
"197",2007-07-16,0.83,0.723,5.503,2.3195322
"198",2007-07-17,0.848,0.664,3.654,1.85204503333333
"199",2007-07-18,0.909,0.667,5.086,2.0668109
"200",2007-07-19,1.068,0.676,3.13,1.651257
"201",2007-07-20,1.624,2.406,4.592,2.61841576666667
"202",2007-07-21,0.487,0.612,7.502,2.57427506666667
"203",2007-07-22,6.635,0.986,5.736,3.24119176666667
"204",2007-07-23,2.164,2.438,4.101,2.704832
"205",2007-07-24,0.467,0.323,5.599,1.97700666666667
"206",2007-07-25,0,1.435,2.333,1.3578635
"207",2007-07-26,0.975,3.579,4.346,2.3506843
"208",2007-07-27,1.33,0.103,6.82,2.63276366666667
"209",2007-07-28,1.414,10.265,6.347,4.2680026
"210",2007-07-29,0,0,1.837,0.876165066666667
"211",2007-07-30,0,0,1.822,1.01734143333333
"212",2007-07-31,3.277,0,4.281,2.00473316666667
"213",2007-08-01,1.583,0,9.812,2.63044803333333
"214",2007-08-02,0.482,0,6.531,1.9266673
"215",2007-08-03,0.958,0,9.477,2.82723423333333
"216",2007-08-04,0.552,0.398,7.506,2.51043196666667
"217",2007-08-05,0.169,0,6.409,2.10995833333333
"218",2007-08-06,1.096,0,8.349,2.5419749
"219",2007-08-07,0.437,2.168,9.376,3.60059536666667
"220",2007-08-08,1.055,1.052,9.66,2.80973583333333
"221",2007-08-09,0.182,4.574,6.646,2.5868815
"222",2007-08-10,0.336,2.598,8.209,2.3049803
"223",2007-08-11,1.18,0.963,10.417,2.67937406666667
"224",2007-08-12,0.462,0.344,6.59,2.0996227
"225",2007-08-13,0.754,1.288,12.635,3.45728016666667
"226",2007-08-14,0.951,0.366,6.714,2.26775656666667
"227",2007-08-15,0.338,0.827,9.787,3.04279433333333
"228",2007-08-16,0.962,0,6.861,2.2838145
"229",2007-08-17,0.244,0,8.384,2.6868108
"230",2007-08-18,0,0,1.83,0.859081966666667
"231",2007-08-19,1.025,8.865,5.674,3.5093601
"232",2007-08-20,1.032,6.992,7,3.14559136666667
"233",2007-08-21,0,0.058,3.994,1.72413116666667
"234",2007-08-22,3.048,0.311,6.969,2.77252453333333
"235",2007-08-23,2.043,1.764,5.614,2.93525363333333
"236",2007-08-24,2.334,3.077,9.532,3.64012253333333
"237",2007-08-25,4.165,2.779,6.09,3.2524083
"238",2007-08-26,1.541,3.649,5.658,3.06079963333333
"239",2007-08-27,1.798,1.334,6.098,2.4950198
"240",2007-08-28,1.545,0.756,5.729,2.74814236666667
"241",2007-08-29,0.957,2.267,4.932,2.22061346666667
"242",2007-08-30,3.435,1.171,3.6,2.49433673333333
"243",2007-08-31,1.17,2.041,9.194,3.50392613333333
"244",2007-09-01,2.905,0.582,8.781,3.78879983333333
"245",2007-09-02,3.254,1.635,9.267,4.3538423
"246",2007-09-03,0.989,2.527,5.683,2.9244303
"247",2007-09-04,2.928,3.401,10.117,3.94258086666667
"248",2007-09-05,0,3.689,5.271,2.87522483333333
"249",2007-09-06,0,3.614,4.895,2.34656966666667
"250",2007-09-07,3.258,1.382,9.388,3.56111313333333
"251",2007-09-08,3.129,1.789,8.817,3.53501843333333
"252",2007-09-09,2.768,4.411,8.197,3.97222886666667
"253",2007-09-10,0.935,0.602,6.766,2.93766206666667
"254",2007-09-11,0.089,0.562,3.905,2.0671193
"255",2007-09-12,0.854,1.276,8.111,3.2784923
"256",2007-09-13,0.639,4.432,5.614,3.21932873333333
"257",2007-09-14,1.202,0.677,5.804,2.84347956666667
"258",2007-09-15,0.235,1.459,6.464,2.7494183
"259",2007-09-16,3.118,3.029,7.188,3.8522942
"260",2007-09-17,5.635,0.991,6.368,3.69039046666667
"261",2007-09-18,1.992,2.007,6.722,3.1416198
"262",2007-09-19,0.912,2.74,8.673,3.6145956
"263",2007-09-20,1.056,0.512,7.859,2.71742506666667
"264",2007-09-21,2.623,2.68,8.02,3.56258283333333
"265",2007-09-22,1.451,1.28,8.121,3.0555479
"266",2007-09-23,2.831,2.062,6.307,3.41151473333333
"267",2007-09-24,0.929,3.935,9.03,3.65172216666667
"268",2007-09-25,0.916,2.222,8.303,4.0256241
"269",2007-09-26,1.058,9.344,6.842,4.85432173333333
"270",2007-09-27,1.066,0.706,7.66,3.5195047
"271",2007-09-28,0.996,3.697,9.509,4.30827396666667
"272",2007-09-29,3.139,7.521,7.804,5.10512673333333
"273",2007-09-30,2.351,0.509,8.949,4.15872673333333
"274",2007-10-01,1.081,6.694,5.939,4.05572316666667
"275",2007-10-02,0.934,7.959,14.568,5.88808733333333
"276",2007-10-03,0.979,4.817,4.065,3.24985096666667
"277",2007-10-04,2.091,0.676,9.71,3.82163163333333
"278",2007-10-05,0.309,0.36,9.425,3.4143889
"279",2007-10-06,4.364,0.357,9.666,4.12325116666667
"280",2007-10-07,2.974,8.186,8.809,5.11435186666667
"281",2007-10-08,0,0.475,5.258,2.76267243333333
"282",2007-10-09,2.033,2.158,10.641,4.406242
"283",2007-10-10,1.864,2.071,3.895,3.06473323333333
"284",2007-10-11,2.628,0.45,7.455,3.90776806666667
"285",2007-10-12,1.022,5.022,11.931,5.24833773333333
"286",2007-10-13,0.969,3.764,8.369,4.40183996666667
"287",2007-10-14,2.93,7.522,7.299,5.30545676666667
"288",2007-10-15,1.061,0.359,7.654,3.3367724
"289",2007-10-16,0,6.126,9.456,4.187965
"290",2007-10-17,1.065,2.188,9.029,4.33345293333333
"291",2007-10-18,0.551,0.318,8.05,3.4487797
"292",2007-10-19,1.91,3.124,13.251,5.4026137
"293",2007-10-20,2.363,0.309,13.795,4.23626226666667
"294",2007-10-21,3.207,4.345,7.313,4.4999188
"295",2007-10-22,0.505,0.307,13.027,4.0991078
"296",2007-10-23,1.067,3.871,10.456,4.80695696666667
"297",2007-10-24,3.821,1.682,7.915,4.49631053333333
"298",2007-10-25,1.579,2.336,8.809,4.79975873333333
"299",2007-10-26,0.537,0.451,5.766,3.98410653333333
"300",2007-10-27,1.374,4.84,8.949,4.41121833333333
"301",2007-10-28,0,0.299,1.581,1.21508743333333
"302",2007-10-29,0,0.285,2.803,1.35743973333333
"303",2007-10-30,0,1.919,4.386,1.86794776666667
"304",2007-10-31,0,4.696,8.915,3.01742213333333
"305",2007-11-01,0,0.314,1.991,1.2112182
"306",2007-11-02,1.346,2.098,12.245,3.48379076666667
"307",2007-11-03,0,0.288,1.936,1.20556
"308",2007-11-04,0,4.358,7.068,3.72481983333333
"309",2007-11-05,1.265,0.415,6.583,3.59780103333333
"310",2007-11-06,1.105,5.516,10.69,5.2455699
"311",2007-11-07,5.042,0.322,5.809,4.56068946666667
"312",2007-11-08,1.715,0.301,7.065,3.92698036666667
"313",2007-11-09,0,4.586,15.375,5.26265726666667
"314",2007-11-10,3.173,0.303,12.72,6.1781593
"315",2007-11-11,3.969,0.301,7.071,5.16779766666667
"316",2007-11-12,1.018,3.422,13.281,5.2696795
"317",2007-11-13,0.978,5.696,11.076,5.4479034
"318",2007-11-14,1.055,0.275,15.264,4.8752338
"319",2007-11-15,1.361,0.589,8.179,3.8760647
"320",2007-11-16,2.236,4.656,13.853,5.6215271
"321",2007-11-17,2.588,2.195,14.653,6.13082266666667
"322",2007-11-18,5.201,2.107,7.449,5.9055057
"323",2007-11-19,1.089,0.253,10.82,4.3743455
"324",2007-11-20,0.485,3.934,10.511,5.0623198
"325",2007-11-21,1.669,0.569,9.245,4.50146443333333
"326",2007-11-22,2.331,0.277,9.641,4.90484623333333
"327",2007-11-23,2.592,5.683,13.712,6.0294671
"328",2007-11-24,1.685,4.629,13.509,4.9335829
"329",2007-11-25,3.556,0.288,5.678,3.44210323333333
"330",2007-11-26,1.088,0.285,8.926,3.95297066666667
"331",2007-11-27,1.063,10.983,14,6.76051506666667
"332",2007-11-28,1.182,0.82,8.921,4.37811733333333
"333",2007-11-29,2.031,0.263,8.818,4.32295233333333
"334",2007-11-30,0,7.961,13.601,5.59863393333333
"335",2007-12-01,9.356,0.338,16.781,7.48329936666667
"336",2007-12-02,2.09,6.917,11.702,7.24982426666667
"337",2007-12-03,1.141,0.292,9.33,4.2872895
"338",2007-12-04,1.012,5.828,9.659,5.2530721
"339",2007-12-05,3.422,0.297,10.919,5.40938506666667
"340",2007-12-06,4.445,0.336,11.354,5.89746573333333
"341",2007-12-07,0.765,3.69,10.817,4.5602155
"342",2007-12-08,1.133,2.353,12.032,5.60447306666667
"343",2007-12-09,4.176,2.449,8.979,5.58986476666667
"344",2007-12-10,1.102,0.275,8.281,4.4536304
"345",2007-12-11,1.05,3.801,12.342,5.57543926666667
"346",2007-12-12,1.152,0.273,8.157,4.0226118
"347",2007-12-13,1.103,1.438,8.911,4.63385886666667
"348",2007-12-14,0.98,3.841,12.941,4.7677086
"349",2007-12-15,1.706,3.701,14.313,6.67526096666667
"350",2007-12-16,3.41,2.285,12.929,6.92553276666667
"351",2007-12-17,1.636,0.243,10.567,4.54749923333333
"352",2007-12-18,1.123,5.785,10.824,6.2812531
"353",2007-12-19,1.233,2.647,11.948,5.64771576666667
"354",2007-12-20,1.859,0.309,13.592,4.8354042
"355",2007-12-21,1.191,0.203,12.251,4.90305576666667
"356",2007-12-22,3.229,4.524,12.531,6.20340976666667
"357",2007-12-23,2.561,3.107,11.014,6.01798143333333
"358",2007-12-24,2.985,2.326,15.44,5.71932873333333
"359",2007-12-25,3.899,3.367,7.997,6.1045429
"360",2007-12-26,1.798,2.764,10.567,6.58428596666667
"361",2007-12-27,3.488,1.464,7.774,6.14884783333333
"362",2007-12-28,2.467,8.554,14.932,7.32815766666667
"363",2007-12-29,4.774,2.47,15.983,8.402541
"364",2007-12-30,3.804,3.594,13.385,6.18088403333333
"365",2007-12-31,0,3.456,13.104,5.4225425
"366",2008-01-01,2.461,2.743,13.422,6.75714333333333
"367",2008-01-02,0,1.489,8.987,3.82095216666667
"368",2008-01-03,1.13,2.422,6.671,4.04884803333333
"369",2008-01-04,1.241,5.355,11.752,5.5890903
"370",2008-01-05,2.113,0.286,13.529,5.24020863333333
"371",2008-01-06,1.966,2.445,8.886,4.7538749
"372",2008-01-07,1.288,0.282,9.21,4.14689503333333
"373",2008-01-08,2.197,3.511,10.877,5.10518043333333
"374",2008-01-09,1.162,0.256,8.963,4.48737613333333
"375",2008-01-10,1.307,0.284,9.992,4.72469306666667
"376",2008-01-11,0.661,0.29,7.856,4.0262005
"377",2008-01-12,6.194,2.65,10.204,6.89495626666667
"378",2008-01-13,6.505,0.34,10.415,7.5454979
"379",2008-01-14,5.916,0.339,9.407,5.053939
"380",2008-01-15,0.784,6.883,14.022,6.48569986666667
"381",2008-01-16,1.162,3.43,10.212,5.35890003333333
"382",2008-01-17,1.007,0.349,8.657,3.91208543333333
"383",2008-01-18,1.034,0.815,14.296,5.32587876666667
"384",2008-01-19,2.521,6.086,8.702,4.9411051
"385",2008-01-20,1.775,0.38,4.94,4.3893996
"386",2008-01-21,0,0.375,10.447,4.6549347
"387",2008-01-22,4.67,7.563,7.552,5.54021823333333
"388",2008-01-23,1.116,0.415,13.359,4.63098316666667
"389",2008-01-24,1.107,0.33,5.935,4.02556636666667
"390",2008-01-25,0,2.423,11.409,5.4635102
"391",2008-01-26,4.152,0.312,15.073,6.76170416666667
"392",2008-01-27,4.498,3.834,7.9,6.30180016666667
"393",2008-01-28,1.142,0.264,11.707,5.56228283333333
"394",2008-01-29,1.487,6.236,12.162,6.45213923333333
"395",2008-01-30,0,0.261,6.755,4.0030201
"396",2008-01-31,1.165,0.228,8.865,4.81724876666667
"397",2008-02-01,0,0.28,7.788,3.83355206666667
"398",2008-02-02,6.583,2.794,14.656,7.0888533
"399",2008-02-03,2.319,4.413,9.515,5.53600436666667
"400",2008-02-04,1.161,0.283,9.531,4.08044256666667
"401",2008-02-05,1.098,7.769,13.717,6.05895926666667
"402",2008-02-06,2.114,0.39,7.881,4.17298843333333
"403",2008-02-07,0,0.258,8.636,3.80395036666667
"404",2008-02-08,0.94,1.958,8.994,4.51944896666667
"405",2008-02-09,1.462,2.835,10.862,5.43984843333333
"406",2008-02-10,3.15,2.958,9.036,5.43015863333333
"407",2008-02-11,1.018,0.259,10.022,4.51394853333333
"408",2008-02-12,2.009,1.894,12.138,4.7549003
"409",2008-02-13,2.53,3.615,7.568,4.82118606666667
"410",2008-02-14,1.3,0.255,9.042,3.92345153333333
"411",2008-02-15,1.109,1.759,13.674,4.98123463333333
"412",2008-02-16,1.076,2.36,11.225,5.6774429
"413",2008-02-17,3.182,2.257,6.423,4.9835304
"414",2008-02-18,0,0.218,10.345,3.7862647
"415",2008-02-19,1.881,4.744,11.2,5.32294796666667
"416",2008-02-20,3.076,5.475,7.017,5.48601976666667
"417",2008-02-21,0.579,0.309,9.21,4.3260108
"418",2008-02-22,1.167,1.984,10.101,4.2205694
"419",2008-02-23,1.684,2.281,8.956,4.37032426666667
"420",2008-02-24,0.754,0.3,12.531,3.19257923333333
"421",2008-02-25,0,0.324,1.856,1.17006806666667
"422",2008-02-26,0,0.333,2.013,1.175929
"423",2008-02-27,0,0.287,2.969,1.3724189
"424",2008-02-28,0,0.32,2.028,1.25140283333333
"425",2008-02-29,0,3.773,8.062,3.16062013333333
"426",2008-03-01,0,1.268,1.959,2.6212546
"427",2008-03-02,0,5.216,3.33,2.9172569
"428",2008-03-03,0,2.243,1.755,2.48009976666667
"429",2008-03-04,1.249,2.445,9.415,4.0232212
"430",2008-03-05,1.145,9.768,5.529,4.7971907
"431",2008-03-06,1.082,0.41,6.965,6.24672366666667
"432",2008-03-07,0.839,3.471,8.364,4.4415331
"433",2008-03-08,6.306,0.346,9.104,5.51852516666667
"434",2008-03-09,2.983,0.316,4.155,4.10805933333333
"435",2008-03-10,2.009,0.344,8.66,3.96064773333333
"436",2008-03-11,1.145,3.939,11.848,5.35423223333333
"437",2008-03-12,0.705,2.326,12.13,4.51297183333333
"438",2008-03-13,3.804,3.599,5.464,4.31978343333333
"439",2008-03-14,0.98,3.885,14.476,5.41428443333333
"440",2008-03-15,2.425,0.54,5.91,3.89691026666667
"441",2008-03-16,2.519,0.566,10.206,4.32061686666667
"442",2008-03-17,0.236,6.591,10.426,4.41529743333333
"443",2008-03-18,1.156,4.007,12.544,4.68024753333333
"444",2008-03-19,2.11,0.483,6.154,3.30295943333333
"445",2008-03-20,1.107,0.405,6.67,3.1461708
"446",2008-03-21,2.171,4.785,13.275,5.00207583333333
"447",2008-03-22,3.322,0.654,11.318,4.98970233333333
"448",2008-03-23,6.279,2.102,14.965,5.79401836666667
"449",2008-03-24,1.131,5.998,7.008,4.75662996666667
"450",2008-03-25,2.246,3.613,13.494,5.08345513333333
"451",2008-03-26,1.956,3.828,7.547,4.03071503333333
"452",2008-03-27,0.591,0.423,9.022,3.5338124
"453",2008-03-28,2.325,3.605,11.581,4.7776953
"454",2008-03-29,5.153,0.371,16.172,5.82805306666667
"455",2008-03-30,4.843,1.312,10.837,5.38668606666667
"456",2008-03-31,0.751,0.36,7.254,3.13659886666667
"457",2008-04-01,1.084,6.655,15.725,5.28074466666667
"458",2008-04-02,0.871,3.65,8.688,3.9848031
"459",2008-04-03,0.772,0.487,7.125,3.3655833
"460",2008-04-04,2.133,0.794,11.124,3.65175553333333
"461",2008-04-05,2.929,0.834,15.277,5.04082863333333
"462",2008-04-06,1.124,2.598,7.96,4.0489853
"463",2008-04-07,2.42,0.673,9.464,4.0245332
"464",2008-04-08,2.243,10.769,17.284,6.57785546666667
"465",2008-04-09,0.509,0.376,8.43,3.0574279
"466",2008-04-10,2.916,0.371,6.642,3.2790414
"467",2008-04-11,2.147,0.553,15.217,4.88788706666667
"468",2008-04-12,6.648,2.503,13.111,6.51624903333333
"469",2008-04-13,2.484,5.883,15.087,6.09382683333333
"470",2008-04-14,0.498,0.504,9.857,3.59025583333333
"471",2008-04-15,1.174,3.936,10.099,4.14824983333333
"472",2008-04-16,0.838,0.441,12.471,4.0050612
"473",2008-04-17,1.719,0.441,8.406,3.5154778
"474",2008-04-18,2.174,3.768,10.599,4.40290066666667
"475",2008-04-19,3.389,2.432,13.601,5.32408446666667
"476",2008-04-20,1.96,3.509,11.569,4.6219012
"477",2008-04-21,0,2.067,7.25,2.89938326666667
"478",2008-04-22,0.971,6.749,10.647,4.22271453333333
"479",2008-04-23,1.373,0.566,8.329,2.9812761
"480",2008-04-24,1.27,0.505,4.705,2.7530733
"481",2008-04-25,0.824,1.982,10.021,3.2240839
"482",2008-04-26,0,0.665,3.634,2.1105646
