"","year","week","Kitchen","Laundry","WH_AC","GAP"
"76",2008,23,13.136,19.174,63.945,168.697266666667
"77",2008,24,17.25,17.633,66.945,173.1287
"78",2008,25,23.02,15.496,79.532,179.9494
"79",2008,26,12.456,10.059,61.286,145.287066666667
"80",2008,27,13.167,16.972,54.963,144.3822
"81",2008,28,12.841,9.856,53.105,138.091166666667
"82",2008,29,10.869,9.309,53.231,137.1715
"83",2008,30,4.784,4.179,47.002,107.628833333333
"84",2008,31,6.834,10.938,36.4,109.788166666667
"85",2008,32,0.635,3.446,19.872,50.9212
"86",2008,33,0,3.149,12.132,32.4127
"87",2008,34,0,2.987,10.958,30.5044333333333
"88",2008,35,3.006,6.36,29.014,65.1569
"89",2008,36,14.763,14.128,63.318,157.354
"90",2008,37,10.484,8.25,62.893,163.6412
"91",2008,38,13.539,9.938,69.162,166.802133333333
"92",2008,39,11.088,11.403,71.118,179.202233333333
"93",2008,40,14.044,11.051,65.45,188.405366666667
"94",2008,41,8.834,17.685,73.684,203.794866666667
"95",2008,42,8.503,23.348,65.256,218.387266666667
"96",2008,43,10.964,10.141,58.235,202.0226
"97",2008,44,4.263,2.403,28.862,131.834366666667
"98",2008,45,18.1,21.761,60.325,237.768766666667
"99",2008,46,14.376,11.669,75.495,241.078133333333
"100",2008,47,10.141,14.274,70.006,253.197333333333
"101",2008,48,15.572,7.484,77.147,250.111933333333
"102",2008,49,11.469,7.523,78.104,236.869966666667
"103",2008,50,11.95,10.267,68.262,215.808466666667
"104",2008,51,11.394,17.118,83.11,238.356133333333
"105",2008,52,6.234,3.754,49.852,176.799333333333
"106",2008,53,2.975,0.459,19.005,52.3435333333333
"107",2009,1,15.013,19.87,59.419,216.008233333333
"108",2009,2,15.34,11.082,76.428,217.818666666667
"109",2009,3,18.935,16.184,86.666,266.204566666667
"110",2009,4,15.463,18.676,70.641,233.640566666667
"111",2009,5,15.963,15.865,85.805,244.753233333333
"112",2009,6,19.607,16.203,91.659,255.0057
"113",2009,7,6.955,4.87,69.454,175.008366666667
"114",2009,8,12.174,15.02,56.022,197.762233333333
"115",2009,9,17.876,11.772,66.613,206.8868
"116",2009,10,15.463,14.514,78.637,220.708666666667
"117",2009,11,8.988,10.785,84.204,202.433266666667
"118",2009,12,13.555,9.027,64.953,183.124766666667
"119",2009,13,13.869,10.558,70.739,205.969133333333
"120",2009,14,11.175,8.694,72.448,183.051933333333
"121",2009,15,19.68,17.41,78.95,210.908966666667
"122",2009,16,9.583,12.833,67.343,188.629033333333
"123",2009,17,10.234,9.295,66.894,178.381166666667
"124",2009,18,9.287,13.769,74.323,187.1153
"125",2009,19,11.071,11.987,68.454,173.8143
"126",2009,20,10.704,14.368,72.553,179.828133333333
"127",2009,21,6.222,8.958,74.217,160.751966666667
"128",2009,22,11.042,5.352,67.568,150.131533333333
"129",2009,23,8.279,10.877,64.531,149.309966666667
"130",2009,24,5.918,3.118,45.043,95.2915333333333
"131",2009,25,6.082,6.951,67.398,131.8124
"132",2009,26,8.343,7.097,61.309,137.665733333333
"133",2009,27,8.513,12.831,52.144,133.6081
"134",2009,28,5.15,6.641,40.827,95.976
"135",2009,29,0.914,6.16,37.695,93.9448
"136",2009,30,1.795,10.57,36.992,86.6404
"137",2009,31,0.865,9.036,32.646,75.6620666666667
"138",2009,32,3.292,10.22,34.527,88.9504333333333
"139",2009,33,10.349,10.583,40.31,115.582366666667
"140",2009,34,14.086,8.77,51.558,130.8949
"141",2009,35,7.243,6.689,60.163,140.165833333333
"142",2009,36,10.966,11.555,59.043,146.011
"143",2009,37,20.802,7.684,71.039,178.0518
"144",2009,38,11.741,9.936,78.393,184.467933333333
"145",2009,39,6.654,15.437,71.369,162.521166666667
"146",2009,40,9.994,11.16,70.444,173.731633333333
"147",2009,41,13.686,12.434,74.77,189.472033333333
"148",2009,42,12.175,12.61,77.423,205.653266666667
"149",2009,43,14.972,9.108,76.582,196.6161
"150",2009,44,11.328,17.519,70.066,212.841566666667
"151",2009,45,12.814,9.46,76.09,200.223433333333
"152",2009,46,16.025,17.169,82.201,223.477466666667
"153",2009,47,17.057,13.354,79.844,232.764033333333
"154",2009,48,8.757,11.984,80.142,205.750233333333
"155",2009,49,13.163,9.355,78.196,224.709366666667
"156",2009,50,12.784,10.873,81.18,215.493966666667
"157",2009,51,8.033,4.447,85.886,203.338266666667
"158",2009,52,22.678,21.04,95.567,266.673666666667
"159",2009,53,0,0.417,18.349,35.5669
"160",2010,1,0,0,1.099,1.6905
