"","Kitchen","Laundry","WH_AC","GAP","DateTime","Date"
"149",14.972,9.108,76.582,196.6161,2009-10-25 02:00:00,2009-10-25
"150",11.328,17.519,70.066,212.841566666667,2009-10-29 00:00:00,2009-10-29
"151",12.814,9.46,76.09,200.223433333333,2009-11-05 00:00:00,2009-11-05
"152",16.025,17.169,82.201,223.477466666667,2009-11-12 00:00:00,2009-11-12
"153",17.057,13.354,79.844,232.764033333333,2009-11-19 00:00:00,2009-11-19
"154",8.757,11.984,80.142,205.750233333333,2009-11-26 00:00:00,2009-11-26
"155",13.163,9.355,78.196,224.709366666667,2009-12-03 00:00:00,2009-12-03
"156",12.784,10.873,81.18,215.493966666667,2009-12-10 00:00:00,2009-12-10
"157",8.033,4.447,85.886,203.338266666667,2009-12-17 00:00:00,2009-12-17
"158",22.678,21.04,95.567,266.673666666667,2009-12-24 00:00:00,2009-12-24
"159",0,0.417,18.349,35.5669,2009-12-31 00:00:00,2009-12-31
