"","Date","Kitchen","Laundry","WH_AC","GAP","DateTime"
"24",2007-01-24,3.464,2.48,11.323,49.9852,"2007-01-24 00:00:00"
"25",2007-01-25,1.158,0.262,11.015,26.6917,"2007-01-25 00:00:00"
"26",2007-01-26,0.587,0.236,8.346,26.264,"2007-01-26 00:00:00"
"27",2007-01-27,1.746,3.148,12.766,32.7324,"2007-01-27 00:00:00"
"28",2007-01-28,3.466,4.746,12.19,54.2551666666667,"2007-01-28 00:00:00"
"29",2007-01-29,1.123,0.293,14.594,32.0594,"2007-01-29 00:00:00"
"30",2007-01-30,1.123,1.389,8.809,29.1709333333333,"2007-01-30 00:00:00"
"31",2007-01-31,0,5.987,15.052,39.6936333333333,"2007-01-31 00:00:00"
"32",2007-02-01,1.17,0.396,12.06,29.3524333333333,"2007-02-01 00:00:00"
"33",2007-02-02,0,0.361,11.366,25.7185333333333,"2007-02-02 00:00:00"
"34",2007-02-03,4.746,4.571,17.826,67.8834333333333,"2007-02-03 00:00:00"
"35",2007-02-04,3.391,3.377,15.537,60.53,"2007-02-04 00:00:00"
"36",2007-02-05,0.896,3.751,7.849,29.1379666666667,"2007-02-05 00:00:00"
"37",2007-02-06,1.185,0.44,4.517,21.3502333333333,"2007-02-06 00:00:00"
"38",2007-02-07,2.731,3.521,11.986,38.2364333333333,"2007-02-07 00:00:00"
"39",2007-02-08,2.794,0.341,9.717,30.0851666666667,"2007-02-08 00:00:00"
"40",2007-02-09,0,2.972,10.21,27.1791333333333,"2007-02-09 00:00:00"
"41",2007-02-10,5.071,2.912,13.935,44.6144333333333,"2007-02-10 00:00:00"
"42",2007-02-11,2.43,4.782,12.511,61.2638,"2007-02-11 00:00:00"
"43",2007-02-12,2.227,0.393,11.958,31.7919,"2007-02-12 00:00:00"
"44",2007-02-13,0,2.796,5.959,23.2658666666667,"2007-02-13 00:00:00"
"45",2007-02-14,3.295,3.805,12.508,42.5343333333333,"2007-02-14 00:00:00"
"46",2007-02-15,0,2.323,12.934,31.7651333333333,"2007-02-15 00:00:00"
"47",2007-02-16,1.148,0.918,8.71,28.2317666666667,"2007-02-16 00:00:00"
"48",2007-02-17,1.765,2.188,8.23,32.4877,"2007-02-17 00:00:00"
"49",2007-02-18,6.107,7.979,13.129,67.3777666666667,"2007-02-18 00:00:00"
"50",2007-02-19,1.634,2.939,13.085,34.3292,"2007-02-19 00:00:00"
"51",2007-02-20,2.058,3.727,9.713,53.2141333333333,"2007-02-20 00:00:00"
"52",2007-02-21,3.062,3.809,10.462,33.6533333333333,"2007-02-21 00:00:00"
"53",2007-02-22,1.874,2.8,12.28,55.8901333333333,"2007-02-22 00:00:00"
"54",2007-02-23,0,1.813,11.843,24.004,"2007-02-23 00:00:00"
"55",2007-02-24,0,0.363,3.562,12.4589666666667,"2007-02-24 00:00:00"
"56",2007-02-25,0,0.355,1.66,8.38276666666667,"2007-02-25 00:00:00"
"57",2007-02-26,0,0.341,2.485,9.1508,"2007-02-26 00:00:00"
"58",2007-02-27,0,0.307,2.269,8.9469,"2007-02-27 00:00:00"
"59",2007-02-28,0,0.343,1.973,8.7031,"2007-02-28 00:00:00"
"60",2007-03-01,0,0.318,1.98,8.62983333333333,"2007-03-01 00:00:00"
"61",2007-03-02,0,0.309,1.969,8.5625,"2007-03-02 00:00:00"
"62",2007-03-03,0,0.347,4.597,13.6266,"2007-03-03 00:00:00"
"63",2007-03-04,1.476,8.707,9.404,34.8486,"2007-03-04 00:00:00"
"64",2007-03-05,5.727,12.126,10.03,44.3705666666667,"2007-03-05 00:00:00"
"65",2007-03-06,0,1.76,4.388,20.3437666666667,"2007-03-06 00:00:00"
"66",2007-03-07,1.076,4.676,15.591,39.2939333333333,"2007-03-07 00:00:00"
"67",2007-03-08,2.18,3.433,6.713,26.6217,"2007-03-08 00:00:00"
"68",2007-03-09,1.093,0.382,8.807,20.8562666666667,"2007-03-09 00:00:00"
"69",2007-03-10,4.13,5.422,10.446,39.4390333333333,"2007-03-10 00:00:00"
"70",2007-03-11,4.81,3.42,10.033,59.9426666666667,"2007-03-11 00:00:00"
"71",2007-03-12,1.403,2.802,12.272,33.0946333333333,"2007-03-12 00:00:00"
"72",2007-03-13,1.35,3.351,4.68,20.0432,"2007-03-13 00:00:00"
"73",2007-03-14,3.189,1.027,9.331,30.5082333333333,"2007-03-14 00:00:00"
"74",2007-03-15,0.296,3.263,11.036,31.9053666666667,"2007-03-15 00:00:00"
"75",2007-03-16,1.106,4.569,5.37,28.0167,"2007-03-16 00:00:00"
"76",2007-03-17,2.208,0.383,12.275,34.6073666666667,"2007-03-17 00:00:00"
"77",2007-03-18,6.105,7.371,5.856,38.7005333333333,"2007-03-18 00:00:00"
"78",2007-03-19,2.107,2.68,14.118,35.8384,"2007-03-19 00:00:00"
"79",2007-03-20,3.745,2.815,10.185,34.4957,"2007-03-20 00:00:00"
"80",2007-03-21,1.575,3.032,13.052,34.5976333333333,"2007-03-21 00:00:00"
"81",2007-03-22,0.643,1.874,9.737,25.3757,"2007-03-22 00:00:00"
"82",2007-03-23,1.127,0.493,9.447,22.4729666666667,"2007-03-23 00:00:00"
"83",2007-03-24,3.095,6.071,15.332,46.0823,"2007-03-24 00:00:00"
"84",2007-03-25,4.957,3.539,8.308,55.4922666666667,"2007-03-25 00:00:00"
"85",2007-03-26,0.851,0.401,11.196,26.0792666666667,"2007-03-26 00:00:00"
"86",2007-03-27,0.522,2.964,3.697,18.6375,"2007-03-27 00:00:00"
"87",2007-03-28,1.122,8.205,13.286,38.1369666666667,"2007-03-28 00:00:00"
"88",2007-03-29,0.56,0.831,9.712,25.3329,"2007-03-29 00:00:00"
"89",2007-03-30,1.174,0.447,9.469,24.7193,"2007-03-30 00:00:00"
"90",2007-03-31,3.131,7.657,15.918,55.8486333333333,"2007-03-31 00:00:00"
"91",2007-04-01,3.567,4.248,19.512,44.7565,"2007-04-01 00:00:00"
"92",2007-04-02,1.834,1.886,16.643,33.7710666666667,"2007-04-02 00:00:00"
"93",2007-04-03,3.487,1.315,8.555,28.4585,"2007-04-03 00:00:00"
"94",2007-04-04,3.996,0.465,15.183,34.7048333333333,"2007-04-04 00:00:00"
"95",2007-04-05,1.125,4.202,9.148,30.3977666666667,"2007-04-05 00:00:00"
"96",2007-04-06,0.536,4.374,11.309,27.1213666666667,"2007-04-06 00:00:00"
"97",2007-04-07,1.127,4.28,3.837,22.8701,"2007-04-07 00:00:00"
"98",2007-04-08,0,0.48,4.979,32.3195,"2007-04-08 00:00:00"
"99",2007-04-09,2.142,0.486,4.453,16.7580333333333,"2007-04-09 00:00:00"
"100",2007-04-10,0.734,0.611,1.329,11.0891333333333,"2007-04-10 00:00:00"
"101",2007-04-11,0,1.279,6.983,16.5473666666667,"2007-04-11 00:00:00"
"102",2007-04-12,0,0.523,2.225,9.3653,"2007-04-12 00:00:00"
"103",2007-04-13,0,0.547,1.463,8.63783333333333,"2007-04-13 00:00:00"
"104",2007-04-14,0,0.555,1.792,8.9946,"2007-04-14 00:00:00"
"105",2007-04-15,0,0.683,2.957,11.1604666666667,"2007-04-15 00:00:00"
"106",2007-04-16,0.44,1.68,4.935,15.6614333333333,"2007-04-16 00:00:00"
"107",2007-04-17,2.044,0.38,5.997,19.8866666666667,"2007-04-17 00:00:00"
"108",2007-04-18,1.579,0.366,4.304,17.6524666666667,"2007-04-18 00:00:00"
"109",2007-04-19,0.733,1.604,5.748,18.6263,"2007-04-19 00:00:00"
"110",2007-04-20,0.526,0.347,3.499,12.6505333333333,"2007-04-20 00:00:00"
"111",2007-04-21,6.825,0.467,9.934,26.977,"2007-04-21 00:00:00"
"112",2007-04-22,4.557,2.276,11.657,37.0551666666667,"2007-04-22 00:00:00"
"113",2007-04-23,1.402,0.494,6.645,19.5807666666667,"2007-04-23 00:00:00"
"114",2007-04-24,0.621,0.536,6.68,16.4879333333333,"2007-04-24 00:00:00"
"115",2007-04-25,0.504,1.204,7.428,19.2351,"2007-04-25 00:00:00"
"116",2007-04-26,1.324,2.098,8.547,22.0843,"2007-04-26 00:00:00"
"117",2007-04-27,1.772,0.565,3.772,17.0965666666667,"2007-04-27 00:00:00"
"118",2007-04-28,0,0.057,0.984,8.90383333333333,"2007-04-28 00:00:00"
"119",2007-04-29,0,0,0,5.23199999999999,"2007-04-29 00:00:00"
"120",2007-04-30,0.716,0.438,1.131,8.997,"2007-04-30 00:00:00"
"121",2007-05-01,4.503,0.977,7.158,26.1228,"2007-05-01 00:00:00"
"122",2007-05-02,0,1.299,5.142,17.0254666666667,"2007-05-02 00:00:00"
"123",2007-05-03,1.52,1.937,5.811,18.1164333333333,"2007-05-03 00:00:00"
"124",2007-05-04,1.866,0.575,5.324,17.0404666666667,"2007-05-04 00:00:00"
"125",2007-05-05,3.19,2.456,9.983,24.8660333333333,"2007-05-05 00:00:00"
"126",2007-05-06,3.724,0.652,10.109,34.0229,"2007-05-06 00:00:00"
"127",2007-05-07,0.946,5.249,11.139,29.4295666666667,"2007-05-07 00:00:00"
"128",2007-05-08,4.115,2.001,7.904,29.0768333333333,"2007-05-08 00:00:00"
"129",2007-05-09,2.957,5.645,9.733,28.5008666666667,"2007-05-09 00:00:00"
"130",2007-05-10,1.473,0.514,4.166,13.6851,"2007-05-10 00:00:00"
"131",2007-05-11,0.579,0.518,5.934,14.8806333333333,"2007-05-11 00:00:00"
"132",2007-05-12,2.594,1.062,10.763,24.8845666666667,"2007-05-12 00:00:00"
"133",2007-05-13,3.612,2.424,9.14,27.4027333333333,"2007-05-13 00:00:00"
"134",2007-05-14,2.646,2.184,4.89,22.7395333333333,"2007-05-14 00:00:00"
"135",2007-05-15,0.53,0.642,5.306,16.1902666666667,"2007-05-15 00:00:00"
"136",2007-05-16,1.569,5.755,9.032,28.0177,"2007-05-16 00:00:00"
"137",2007-05-17,1.658,2.073,6.348,19.4591,"2007-05-17 00:00:00"
"138",2007-05-18,2.549,3.881,9.067,26.6577666666667,"2007-05-18 00:00:00"
"139",2007-05-19,5.404,0.56,7.887,26.1163333333333,"2007-05-19 00:00:00"
"140",2007-05-20,4.509,1.682,5.787,29.7183666666667,"2007-05-20 00:00:00"
"141",2007-05-21,0.911,0.521,9.129,20.1835,"2007-05-21 00:00:00"
"142",2007-05-22,0.931,2.852,5.508,19.0130666666667,"2007-05-22 00:00:00"
"143",2007-05-23,0.934,4.891,7.771,24.9408333333333,"2007-05-23 00:00:00"
"144",2007-05-24,0.977,2.803,5.417,18.4017333333333,"2007-05-24 00:00:00"
"145",2007-05-25,7.002,1.91,6.654,27.7380333333333,"2007-05-25 00:00:00"
"146",2007-05-26,3.431,2.755,6.862,24.0011333333333,"2007-05-26 00:00:00"
"147",2007-05-27,3.904,5.475,11.982,37.3214,"2007-05-27 00:00:00"
"148",2007-05-28,4.347,0.536,9.814,27.6984,"2007-05-28 00:00:00"
"149",2007-05-29,0.669,1.904,3.377,17.4094,"2007-05-29 00:00:00"
"150",2007-05-30,1.705,5.936,8.669,26.9296666666667,"2007-05-30 00:00:00"
"151",2007-05-31,1.48,0.482,2.72,15.6452,"2007-05-31 00:00:00"
"152",2007-06-01,0,0.492,8.586,18.161,"2007-06-01 00:00:00"
"153",2007-06-02,3.971,1.248,7.633,25.0607666666667,"2007-06-02 00:00:00"
"154",2007-06-03,4.985,4.495,8.334,30.7021333333333,"2007-06-03 00:00:00"
"155",2007-06-04,1.532,3.856,4.533,19.3599666666667,"2007-06-04 00:00:00"
"156",2007-06-05,4.114,0.976,5.059,20.7484333333333,"2007-06-05 00:00:00"
"157",2007-06-06,3.233,0.891,11.528,29.6072333333333,"2007-06-06 00:00:00"
"158",2007-06-07,1.504,0.691,4.817,18.2125,"2007-06-07 00:00:00"
"159",2007-06-08,2.799,11.431,12.046,36.1830333333333,"2007-06-08 00:00:00"
"160",2007-06-09,0.852,0.591,5.797,16.7998666666667,"2007-06-09 00:00:00"
"161",2007-06-10,4.202,1.952,5.801,21.5512666666667,"2007-06-10 00:00:00"
"162",2007-06-11,0,0.462,6.303,14.723,"2007-06-11 00:00:00"
"163",2007-06-12,1.882,0.5,3.898,14.977,"2007-06-12 00:00:00"
"164",2007-06-13,0.957,0.859,4.273,15.4899333333333,"2007-06-13 00:00:00"
"165",2007-06-14,2.971,0.886,7.051,18.1570333333333,"2007-06-14 00:00:00"
"166",2007-06-15,2.137,5.208,5.493,19.8263,"2007-06-15 00:00:00"
"167",2007-06-16,3.248,4.422,10.56,31.5821666666667,"2007-06-16 00:00:00"
"168",2007-06-17,4.648,5.185,9.282,34.7093,"2007-06-17 00:00:00"
"169",2007-06-18,0,0.502,4.241,11.1688333333333,"2007-06-18 00:00:00"
"170",2007-06-19,0.973,0.536,4.357,13.994,"2007-06-19 00:00:00"
"171",2007-06-20,1.312,2.504,5.106,17.6787333333333,"2007-06-20 00:00:00"
"172",2007-06-21,0.895,1.207,3.711,12.1577,"2007-06-21 00:00:00"
"173",2007-06-22,0.486,2.243,3.482,11.6992,"2007-06-22 00:00:00"
"174",2007-06-23,0,0.786,2.402,7.91986666666667,"2007-06-23 00:00:00"
"175",2007-06-24,0,0.781,2.772,10.6343333333333,"2007-06-24 00:00:00"
"176",2007-06-25,0.313,2.615,5.493,15.4041333333333,"2007-06-25 00:00:00"
"177",2007-06-26,1.673,1.947,3.896,14.8278333333333,"2007-06-26 00:00:00"
"178",2007-06-27,3.063,6.758,8.466,27.4770333333333,"2007-06-27 00:00:00"
"179",2007-06-28,0.51,4.318,8.442,21.9415666666667,"2007-06-28 00:00:00"
"180",2007-06-29,3.85,0.842,7.459,21.2489666666667,"2007-06-29 00:00:00"
"181",2007-06-30,3.562,0.797,8.794,21.8413333333333,"2007-06-30 00:00:00"
"182",2007-07-01,0.969,0.736,4.239,18.4981333333333,"2007-07-01 00:00:00"
"183",2007-07-02,0.439,3.594,2.876,13.3155666666667,"2007-07-02 00:00:00"
"184",2007-07-03,0.579,2.86,4.856,16.7410333333333,"2007-07-03 00:00:00"
"185",2007-07-04,2.767,4.125,5.883,20.1988666666667,"2007-07-04 00:00:00"
"186",2007-07-05,2.28,0.835,3.924,15.4639333333333,"2007-07-05 00:00:00"
"187",2007-07-06,2.989,3.083,4.82,19.6605666666667,"2007-07-06 00:00:00"
"188",2007-07-07,1.505,3.597,8.784,22.3723666666667,"2007-07-07 00:00:00"
"189",2007-07-08,1.825,2.758,5.715,17.7943333333333,"2007-07-08 00:00:00"
"190",2007-07-09,0,0.648,8.538,17.8099333333333,"2007-07-09 00:00:00"
"191",2007-07-10,0.99,1.006,5.652,16.0335333333333,"2007-07-10 00:00:00"
"192",2007-07-11,1.015,1.86,6.066,15.2437333333333,"2007-07-11 00:00:00"
"193",2007-07-12,0.529,2.568,5.196,15.7276666666667,"2007-07-12 00:00:00"
"194",2007-07-13,0.5,0.605,5.65,14.2571,"2007-07-13 00:00:00"
"195",2007-07-14,3.775,1.916,5.624,20.9423666666667,"2007-07-14 00:00:00"
"196",2007-07-15,0.862,0.666,4.461,14.6145333333333,"2007-07-15 00:00:00"
"197",2007-07-16,0.83,0.723,5.503,15.6355666666667,"2007-07-16 00:00:00"
"198",2007-07-17,0.848,0.664,3.654,12.2317333333333,"2007-07-17 00:00:00"
"199",2007-07-18,0.909,0.667,5.086,13.5606333333333,"2007-07-18 00:00:00"
"200",2007-07-19,1.068,0.676,3.13,11.0311666666667,"2007-07-19 00:00:00"
"201",2007-07-20,1.624,2.406,4.592,17.5650333333333,"2007-07-20 00:00:00"
"202",2007-07-21,0.487,0.612,7.502,17.3004666666667,"2007-07-21 00:00:00"
"203",2007-07-22,6.635,0.986,5.736,22.0585666666667,"2007-07-22 00:00:00"
"204",2007-07-23,2.164,2.438,4.101,18.3631666666667,"2007-07-23 00:00:00"
"205",2007-07-24,0.467,0.323,5.599,13.0273333333333,"2007-07-24 00:00:00"
"206",2007-07-25,0,1.435,2.333,9.1945,"2007-07-25 00:00:00"
"207",2007-07-26,0.975,3.579,4.346,15.4566,"2007-07-26 00:00:00"
"208",2007-07-27,1.33,0.103,6.82,17.534,"2007-07-27 00:00:00"
"209",2007-07-28,1.414,10.265,6.347,29.1957,"2007-07-28 00:00:00"
"210",2007-07-29,0,0,1.837,5.9223,"2007-07-29 00:00:00"
"211",2007-07-30,0,0,1.822,6.80503333333333,"2007-07-30 00:00:00"
"212",2007-07-31,3.277,0,4.281,13.7963333333333,"2007-07-31 00:00:00"
"213",2007-08-01,1.583,0,9.812,18.4544333333333,"2007-08-01 00:00:00"
"214",2007-08-02,0.482,0,6.531,14.0667666666667,"2007-08-02 00:00:00"
"215",2007-08-03,0.958,0,9.477,19.7624666666667,"2007-08-03 00:00:00"
"216",2007-08-04,0.552,0.398,7.506,17.7644333333333,"2007-08-04 00:00:00"
"217",2007-08-05,0.169,0,6.409,14.6036666666667,"2007-08-05 00:00:00"
"218",2007-08-06,1.096,0,8.349,17.4233,"2007-08-06 00:00:00"
"219",2007-08-07,0.437,2.168,9.376,24.8012333333333,"2007-08-07 00:00:00"
"220",2007-08-08,1.055,1.052,9.66,19.8683333333333,"2007-08-08 00:00:00"
"221",2007-08-09,0.182,4.574,6.646,18.1498333333333,"2007-08-09 00:00:00"
"222",2007-08-10,0.336,2.598,8.209,16.0414333333333,"2007-08-10 00:00:00"
"223",2007-08-11,1.18,0.963,10.417,18.5286333333333,"2007-08-11 00:00:00"
"224",2007-08-12,0.462,0.344,6.59,14.3829,"2007-08-12 00:00:00"
"225",2007-08-13,0.754,1.288,12.635,23.9038333333333,"2007-08-13 00:00:00"
"226",2007-08-14,0.951,0.366,6.714,15.3354666666667,"2007-08-14 00:00:00"
"227",2007-08-15,0.338,0.827,9.787,21.4676666666667,"2007-08-15 00:00:00"
"228",2007-08-16,0.962,0,6.861,15.6258333333333,"2007-08-16 00:00:00"
"229",2007-08-17,0.244,0,8.384,18.3077666666667,"2007-08-17 00:00:00"
"230",2007-08-18,0,0,1.83,5.8041,"2007-08-18 00:00:00"
"231",2007-08-19,1.025,8.865,5.674,23.1582,"2007-08-19 00:00:00"
"232",2007-08-20,1.032,6.992,7,21.5324,"2007-08-20 00:00:00"
"233",2007-08-21,0,0.058,3.994,11.3346666666667,"2007-08-21 00:00:00"
"234",2007-08-22,3.048,0.311,6.969,18.0777333333333,"2007-08-22 00:00:00"
"235",2007-08-23,2.043,1.764,5.614,19.9387666666667,"2007-08-23 00:00:00"
"236",2007-08-24,2.334,3.077,9.532,25.0316,"2007-08-24 00:00:00"
"237",2007-08-25,4.165,2.779,6.09,22.8061,"2007-08-25 00:00:00"
"238",2007-08-26,1.541,3.649,5.658,21.7572666666667,"2007-08-26 00:00:00"
"239",2007-08-27,1.798,1.334,6.098,16.3786,"2007-08-27 00:00:00"
"240",2007-08-28,1.545,0.756,5.729,18.6610666666667,"2007-08-28 00:00:00"
"241",2007-08-29,0.957,2.267,4.932,14.6579333333333,"2007-08-29 00:00:00"
"242",2007-08-30,3.435,1.171,3.6,16.6318,"2007-08-30 00:00:00"
"243",2007-08-31,1.17,2.041,9.194,22.9302666666667,"2007-08-31 00:00:00"
"244",2007-09-01,2.905,0.582,8.781,25.5586666666667,"2007-09-01 00:00:00"
"245",2007-09-02,3.254,1.635,9.267,29.8966,"2007-09-02 00:00:00"
"246",2007-09-03,0.989,2.527,5.683,19.0996,"2007-09-03 00:00:00"
"247",2007-09-04,2.928,3.401,10.117,26.4285666666667,"2007-09-04 00:00:00"
"248",2007-09-05,0,3.689,5.271,18.8251666666667,"2007-09-05 00:00:00"
"249",2007-09-06,0,3.614,4.895,15.5445,"2007-09-06 00:00:00"
"250",2007-09-07,3.258,1.382,9.388,23.3069333333333,"2007-09-07 00:00:00"
"251",2007-09-08,3.129,1.789,8.817,23.6268666666667,"2007-09-08 00:00:00"
"252",2007-09-09,2.768,4.411,8.197,27.2780666666667,"2007-09-09 00:00:00"
"253",2007-09-10,0.935,0.602,6.766,19.3854666666667,"2007-09-10 00:00:00"
"254",2007-09-11,0.089,0.562,3.905,13.7154333333333,"2007-09-11 00:00:00"
"255",2007-09-12,0.854,1.276,8.111,21.9456,"2007-09-12 00:00:00"
"256",2007-09-13,0.639,4.432,5.614,21.2814666666667,"2007-09-13 00:00:00"
"257",2007-09-14,1.202,0.677,5.804,18.7978,"2007-09-14 00:00:00"
"258",2007-09-15,0.235,1.459,6.464,18.6392666666667,"2007-09-15 00:00:00"
"259",2007-09-16,3.118,3.029,7.188,25.8182333333333,"2007-09-16 00:00:00"
"260",2007-09-17,5.635,0.991,6.368,23.8812666666667,"2007-09-17 00:00:00"
"261",2007-09-18,1.992,2.007,6.722,20.3151,"2007-09-18 00:00:00"
"262",2007-09-19,0.912,2.74,8.673,23.9068666666667,"2007-09-19 00:00:00"
"263",2007-09-20,1.056,0.512,7.859,17.7251333333333,"2007-09-20 00:00:00"
"264",2007-09-21,2.623,2.68,8.02,23.0426666666667,"2007-09-21 00:00:00"
"265",2007-09-22,1.451,1.28,8.121,20.5906333333333,"2007-09-22 00:00:00"
"266",2007-09-23,2.831,2.062,6.307,22.5469666666667,"2007-09-23 00:00:00"
"267",2007-09-24,0.929,3.935,9.03,23.869,"2007-09-24 00:00:00"
"268",2007-09-25,0.916,2.222,8.303,26.7223666666667,"2007-09-25 00:00:00"
"269",2007-09-26,1.058,9.344,6.842,31.9708666666667,"2007-09-26 00:00:00"
"270",2007-09-27,1.066,0.706,7.66,22.9864,"2007-09-27 00:00:00"
"271",2007-09-28,0.996,3.697,9.509,28.6049333333333,"2007-09-28 00:00:00"
"272",2007-09-29,3.139,7.521,7.804,34.5261333333333,"2007-09-29 00:00:00"
"273",2007-09-30,2.351,0.509,8.949,27.4759666666667,"2007-09-30 00:00:00"
"274",2007-10-01,1.081,6.694,5.939,26.3716666666667,"2007-10-01 00:00:00"
"275",2007-10-02,0.934,7.959,14.568,39.8743333333333,"2007-10-02 00:00:00"
"276",2007-10-03,0.979,4.817,4.065,22.0022666666667,"2007-10-03 00:00:00"
"277",2007-10-04,2.091,0.676,9.71,25.2332666666667,"2007-10-04 00:00:00"
"278",2007-10-05,0.309,0.36,9.425,23.0196333333333,"2007-10-05 00:00:00"
"279",2007-10-06,4.364,0.357,9.666,27.7463333333333,"2007-10-06 00:00:00"
"280",2007-10-07,2.974,8.186,8.809,35.1614,"2007-10-07 00:00:00"
"281",2007-10-08,0,0.475,5.258,18.2967,"2007-10-08 00:00:00"
"282",2007-10-09,2.033,2.158,10.641,29.1243333333333,"2007-10-09 00:00:00"
"283",2007-10-10,1.864,2.071,3.895,20.2596333333333,"2007-10-10 00:00:00"
"284",2007-10-11,2.628,0.45,7.455,25.6573,"2007-10-11 00:00:00"
"285",2007-10-12,1.022,5.022,11.931,35.3213,"2007-10-12 00:00:00"
"286",2007-10-13,0.969,3.764,8.369,28.7704333333333,"2007-10-13 00:00:00"
"287",2007-10-14,2.93,7.522,7.299,36.9585333333333,"2007-10-14 00:00:00"
"288",2007-10-15,1.061,0.359,7.654,21.9768,"2007-10-15 00:00:00"
"289",2007-10-16,0,6.126,9.456,29.4146666666667,"2007-10-16 00:00:00"
"290",2007-10-17,1.065,2.188,9.029,28.6375333333333,"2007-10-17 00:00:00"
"291",2007-10-18,0.551,0.318,8.05,22.9235666666667,"2007-10-18 00:00:00"
"292",2007-10-19,1.91,3.124,13.251,36.3947333333333,"2007-10-19 00:00:00"
"293",2007-10-20,2.363,0.309,13.795,29.1082,"2007-10-20 00:00:00"
"294",2007-10-21,3.207,4.345,7.313,31.8669333333333,"2007-10-21 00:00:00"
"295",2007-10-22,0.505,0.307,13.027,27.7001,"2007-10-22 00:00:00"
"296",2007-10-23,1.067,3.871,10.456,31.4076666666667,"2007-10-23 00:00:00"
"297",2007-10-24,3.821,1.682,7.915,29.7149,"2007-10-24 00:00:00"
"298",2007-10-25,1.579,2.336,8.809,31.1813,"2007-10-25 00:00:00"
"299",2007-10-26,0.537,0.451,5.766,26.3922333333333,"2007-10-26 00:00:00"
"300",2007-10-27,1.374,4.84,8.949,30.4716666666667,"2007-10-27 00:00:00"
"301",2007-10-28,0,0.299,1.581,8.62286666666667,"2007-10-28 02:00:00"
"302",2007-10-29,0,0.285,2.803,9.1788,"2007-10-29 00:00:00"
"303",2007-10-30,0,1.919,4.386,13.6315333333333,"2007-10-30 00:00:00"
"304",2007-10-31,0,4.696,8.915,21.3484333333333,"2007-10-31 00:00:00"
"305",2007-11-01,0,0.314,1.991,8.3044,"2007-11-01 00:00:00"
"306",2007-11-02,1.346,2.098,12.245,24.0482,"2007-11-02 00:00:00"
"307",2007-11-03,0,0.288,1.936,8.21716666666667,"2007-11-03 00:00:00"
"308",2007-11-04,0,4.358,7.068,24.6591666666667,"2007-11-04 00:00:00"
"309",2007-11-05,1.265,0.415,6.583,24.1440666666667,"2007-11-05 00:00:00"
"310",2007-11-06,1.105,5.516,10.69,35.5851333333333,"2007-11-06 00:00:00"
"311",2007-11-07,5.042,0.322,5.809,30.2292666666667,"2007-11-07 00:00:00"
"312",2007-11-08,1.715,0.301,7.065,25.5480666666667,"2007-11-08 00:00:00"
"313",2007-11-09,0,4.586,15.375,36.0513666666667,"2007-11-09 00:00:00"
"314",2007-11-10,3.173,0.303,12.72,40.6621,"2007-11-10 00:00:00"
"315",2007-11-11,3.969,0.301,7.071,34.4338333333333,"2007-11-11 00:00:00"
"316",2007-11-12,1.018,3.422,13.281,35.1485,"2007-11-12 00:00:00"
"317",2007-11-13,0.978,5.696,11.076,37.7101333333333,"2007-11-13 00:00:00"
"318",2007-11-14,1.055,0.275,15.264,32.9929333333333,"2007-11-14 00:00:00"
"319",2007-11-15,1.361,0.589,8.179,25.4220666666667,"2007-11-15 00:00:00"
